paper_id,doi,url,url_type,source,section,jspsych_confirmed,checked_date
W7119908993,10.1371/journal.pbio.3003588,https://github.com/predcommlab/hearing_is_believing,github,epmc_fulltext,references,True,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://github.com/uxlfoundation/scikit-learn-intelex,github,epmc_fulltext,references,False,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://gitlab.com/deepset-ai/open-source,gitlab,epmc_fulltext,references,,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://osf.io/3pr7t,osf,epmc_fulltext,references,False,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://osf.io/re96j,osf,epmc_fulltext,references,False,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://osf.io/snxqm,osf,epmc_fulltext,data_availability,True,2026-07-20
W7119908993,10.1371/journal.pbio.3003588,https://osf.io/udszc,osf,epmc_fulltext,references,False,2026-07-20
W7124581078,10.1038/s44271-026-00398-8,https://osf.io/rsydx,osf,epmc_fulltext,data_availability,False,2026-07-20
W7125896751,10.1038/s41398-026-03835-8,https://osf.io/3u47k,osf,epmc_fulltext,body,False,2026-07-20
W7125896751,10.1038/s41398-026-03835-8,https://osf.io/5hmgk,osf,epmc_fulltext,body,False,2026-07-20
W7125896751,10.1038/s41398-026-03835-8,https://osf.io/q83sh,osf,epmc_fulltext,references,False,2026-07-20
